drug	method	column	row	match_not
Rifampicin	Ariba	27	8	Match with phenotype
Rifampicin	Ariba	27	9	Match with phenotype
Rifampicin	Ariba	27	10	Match with phenotype
Rifampicin	Ariba	27	11	Match with phenotype
Rifampicin	Ariba	27	12	Match with phenotype
Rifampicin	Ariba	27	13	Match with phenotype
Rifampicin	Ariba	27	14	Match with phenotype
Rifampicin	Ariba	27	15	Match with phenotype
Rifampicin	Ariba	27	16	Match with phenotype
Rifampicin	Ariba	28	1	Match with phenotype
Rifampicin	Ariba	28	2	Match with phenotype
Rifampicin	Ariba	28	3	Match with phenotype
Rifampicin	Ariba	28	4	Match with phenotype
Rifampicin	Ariba	28	5	Match with phenotype
Rifampicin	Ariba	28	6	Match with phenotype
Rifampicin	Ariba	28	7	Match with phenotype
Rifampicin	Ariba	28	8	Match with phenotype
Rifampicin	Ariba	28	9	Match with phenotype
Rifampicin	Ariba	28	10	Match with phenotype
Rifampicin	Ariba	28	11	Match with phenotype
Rifampicin	Ariba	28	12	Match with phenotype
Rifampicin	Ariba	28	13	Match with phenotype
Rifampicin	Ariba	28	14	Match with phenotype
Rifampicin	Ariba	28	15	Match with phenotype
Rifampicin	Ariba	28	16	Match with phenotype
Rifampicin	Ariba	29	1	Match with phenotype
Rifampicin	Ariba	29	2	Match with phenotype
Rifampicin	Ariba	29	3	Match with phenotype
Rifampicin	Ariba	29	4	Match with phenotype
Rifampicin	Ariba	29	5	Match with phenotype
Rifampicin	Ariba	29	6	Match with phenotype
Rifampicin	Ariba	29	7	Match with phenotype
Rifampicin	Ariba	29	8	Match with phenotype
Rifampicin	Ariba	29	9	Match with phenotype
Rifampicin	Ariba	29	10	Match with phenotype
Rifampicin	Ariba	29	11	Match with phenotype
Rifampicin	Ariba	29	12	Match with phenotype
Rifampicin	Ariba	29	13	Match with phenotype
Rifampicin	Ariba	29	14	Match with phenotype
Rifampicin	Ariba	29	15	Match with phenotype
Rifampicin	Ariba	29	16	Match with phenotype
Rifampicin	Ariba	30	1	Match with phenotype
Rifampicin	Ariba	30	2	Match with phenotype
Rifampicin	Ariba	30	3	Match with phenotype
Rifampicin	Ariba	30	4	Match with phenotype
Rifampicin	Ariba	30	5	Match with phenotype
Rifampicin	Ariba	30	6	Match with phenotype
Rifampicin	Ariba	30	7	Match with phenotype
Rifampicin	Ariba	30	8	Match with phenotype
Rifampicin	Ariba	30	9	Match with phenotype
Rifampicin	Ariba	30	10	Match with phenotype
Rifampicin	Ariba	30	11	Match with phenotype
Rifampicin	Ariba	30	12	Match with phenotype
Rifampicin	Ariba	30	13	Match with phenotype
Rifampicin	Ariba	30	14	Match with phenotype
Rifampicin	Ariba	30	15	Match with phenotype
Rifampicin	Ariba	30	16	Match with phenotype
Rifampicin	Ariba	31	1	Not match with phenotype
Rifampicin	Ariba	31	2	Match with phenotype
Rifampicin	Ariba	31	3	Match with phenotype
Rifampicin	Ariba	31	4	Match with phenotype
Rifampicin	Ariba	31	5	Match with phenotype
Rifampicin	Ariba	31	6	Match with phenotype
Rifampicin	Ariba	31	7	Match with phenotype
Rifampicin	Ariba	31	8	Match with phenotype
Rifampicin	Ariba	31	9	Match with phenotype
Rifampicin	Ariba	31	10	Match with phenotype
Rifampicin	Ariba	31	11	Match with phenotype
Rifampicin	Ariba	31	12	Match with phenotype
